Fund,Date,Price,Currency
IE00B0M63516,2026-07-29,28.84,USD
IGLS.L,2026-07-29,124.9,GBP
IGWD.L,2026-07-29,13004,GBp
INXG.L,2026-07-29,10.714,GBP
ISPE.L,2026-07-29,7.569,GBP
IUAG.L,2026-07-29,92.34,USD
IWDG.L,2026-07-29,1217.5,GBp
JFM0003373,2026-07-29,193.68,USD
KNSL,2026-07-29,376.67,USD
LU0164881194,2026-07-29,293.51,USD
LU0196696453,2026-07-29,20.18,USD
MU0129U00005,2026-07-29,311.32,USD
QNTG.L,2026-07-29,19.688,GBP
QQQ,2026-07-29,661.73,USD
SGLN.L,2026-07-29,5856,GBp
0639.HK,2026-07-30,2.38,HKD
0P00000YAN,2026-07-30,193.43,USD
BCHS.L,2026-07-30,12970,GBp
CNX1.L,2026-07-30,119360,GBp
DPYG.L,2026-07-30,5.515,GBP
EWQX.L,2026-07-30,583.55,GBp
FLOS.L,2026-07-30,476.575,GBp
GB00B1FXTF86,2026-07-30,7.31,GBP
GHYS.L,2026-07-30,88.43,GBP
GRAB,2026-07-30,3.4,USD
IDTG.L,2026-07-30,2.808,GBP
IE0008368742,2026-07-30,194.12,USD
IE00B0M63516,2026-07-30,29.21,USD
IGLS.L,2026-07-30,125.21,GBP
IGWD.L,2026-07-30,13043,GBp
INXG.L,2026-07-30,10.688,GBP
ISPE.L,2026-07-30,7.454,GBP
IUAG.L,2026-07-30,92.32,USD
IWDG.L,2026-07-30,1222,GBp
JFM0003373,2026-07-30,193.43,USD
KNSL,2026-07-30,355.87,USD
LU0164881194,2026-07-30,293.63,USD
LU0196696453,2026-07-30,20.43,USD
MU0129U00005,2026-07-30,310.98,USD
QNTG.L,2026-07-30,20.54,GBP
QQQ,2026-07-30,683.55,USD
SGLN.L,2026-07-30,5911,GBp
0639.HK,2026-07-31,2.39,HKD
0P00000YAN,2026-07-31,194.05,USD
BCHS.L,2026-07-31,12820,GBp
CNX1.L,2026-07-31,119700,GBp
DPYG.L,2026-07-31,5.4895,GBP
EWQX.L,2026-07-31,586.3,GBp
FLOS.L,2026-07-31,476.675,GBp
GB00B1FXTF86,2026-07-31,7.34,GBP
GHYS.L,2026-07-31,88.09,GBP
GRAB,2026-07-31,3.5,USD
IDTG.L,2026-07-31,2.785,GBP
IE0008368742,2026-07-31,196.08,USD
IE00B0M63516,2026-07-31,29.56,USD
IGLS.L,2026-07-31,125.02,GBP
IGWD.L,2026-07-31,13089,GBp
INXG.L,2026-07-31,10.69,GBP
ISPE.L,2026-07-31,7.483,GBP
IUAG.L,2026-07-31,92.09,USD
IWDG.L,2026-07-31,1225,GBp
JFM0003373,2026-07-31,194.05,USD
KNSL,2026-07-31,356.42,USD
LU0164881194,2026-07-31,294.40,USD
LU0196696453,2026-07-31,20.60,USD
MU0129U00005,2026-07-31,313.13,USD
QNTG.L,2026-07-31,20.57,GBP
QQQ,2026-07-31,687.99,USD
SGLN.L,2026-07-31,5819,GBp
0639.HK,2026-08-03,2.32,HKD
0P00000YAN,2026-08-03,194.26,USD
BCHS.L,2026-08-03,13060,GBp
CNX1.L,2026-08-03,122470,GBp
DPYG.L,2026-08-03,5.462,GBP
EWQX.L,2026-08-03,595.8,GBp
FLOS.L,2026-08-03,476.75,GBp
GB00B1FXTF86,2026-08-03,7.42,GBP
GHYS.L,2026-08-03,88.48,GBP
GRAB,2026-08-03,3.67,USD
IDTG.L,2026-08-03,2.7995,GBP
IE00B0M63516,2026-08-03,29.44,USD
IGLS.L,2026-08-03,125.31,GBP
IGWD.L,2026-08-03,13275,GBp
INXG.L,2026-08-03,10.782,GBP
ISPE.L,2026-08-03,7.559,GBP
IUAG.L,2026-08-03,92.2,USD
IWDG.L,2026-08-03,1243,GBp
JFM0003373,2026-08-03,194.26,USD
KNSL,2026-08-03,360.44,USD
LU0164881194,2026-08-03,298.34,USD
LU0196696453,2026-08-03,20.64,USD
MU0129U00005,2026-08-03,318.33,USD
QNTG.L,2026-08-03,21.405,GBP
QQQ,2026-08-03,700.07,USD
SGLN.L,2026-08-03,5826,GBp
0639.HK,2026-08-04,2.33,HKD
0P00000YAN,2026-08-04,194.5,USD
BCHS.L,2026-08-04,13216,GBp
CNX1.L,2026-08-04,126070,GBp
DPYG.L,2026-08-04,5.462,GBP
EWQX.L,2026-08-04,609.6,GBp
FLOS.L,2026-08-04,476.625,GBp
GB00B1FXTF86,2026-08-04,7.41,GBP
GHYS.L,2026-08-04,88.44,GBP
GRAB,2026-08-04,3.72,USD
IDTG.L,2026-08-04,2.816,GBP
IE0008368742,2026-08-04,197.92,USD
IE00B0M63516,2026-08-04,29.47,USD
IGLS.L,2026-08-04,125.49,GBP
IGWD.L,2026-08-04,13462,GBp
INXG.L,2026-08-04,10.834,GBP
ISPE.L,2026-08-04,7.64,GBP
IUAG.L,2026-08-04,92.68,USD
IWDG.L,2026-08-04,1261,GBp
JFM0003373,2026-08-04,194.5,USD
KNSL,2026-08-04,362.82,USD
LU0164881194,2026-08-04,297.17,USD
LU0196696453,2026-08-04,20.73,USD
MU0129U00005,2026-08-04,316.66,USD
QNTG.L,2026-08-04,21.84,GBP
QQQ,2026-08-04,723.85,USD
SGLN.L,2026-08-04,5883,GBp
0639.HK,2026-08-05,2.32,HKD
0P00000YAN,2026-08-05,194.63,USD
BCHS.L,2026-08-05,13080,GBp
CNX1.L,2026-08-05,126680,GBp
DPYG.L,2026-08-05,5.4485,GBP
EWQX.L,2026-08-05,610.85,GBp
FLOS.L,2026-08-05,476.65,GBp
GB00B1FXTF86,2026-08-05,7.46,GBP
GHYS.L,2026-08-05,88.37,GBP
GRAB,2026-08-05,3.74,USD
IDTG.L,2026-08-05,2.829,GBP
IE0008368742,2026-08-05,200.03,USD
IE00B0M63516,2026-08-05,29.39,USD
IGLS.L,2026-08-05,125.55,GBP
IGWD.L,2026-08-05,13544,GBp
INXG.L,2026-08-05,10.806,GBP
ISPE.L,2026-08-05,7.663,GBP
IUAG.L,2026-08-05,92.65,USD
IWDG.L,2026-08-05,1268.5,GBp
JFM0003373,2026-08-05,194.63,USD
KNSL,2026-08-05,370.97,USD
LU0164881194,2026-08-05,297.81,USD
LU0196696453,2026-08-05,20.69,USD
MU0129U00005,2026-08-05,316.16,USD
QNTG.L,2026-08-05,21.79,GBP
QQQ,2026-08-05,717.3,USD
SGLN.L,2026-08-05,6131,GBp
0639.HK,2026-08-06,2.38,HKD
0P00000YAN,2026-08-06,194.94,USD
BCHS.L,2026-08-06,12962,GBp
CNX1.L,2026-08-06,125710,GBp
DPYG.L,2026-08-06,5.438,GBP
EWQX.L,2026-08-06,606.7,GBp
FLOS.L,2026-08-06,476.55,GBp
GB00B1FXTF86,2026-08-06,7.41,GBP
GHYS.L,2026-08-06,88.58,GBP
GRAB,2026-08-06,3.67,USD
IDTG.L,2026-08-06,2.8165,GBP
IE0008368742,2026-08-06,197.69,USD
IE00B0M63516,2026-08-06,29.12,USD
IGLS.L,2026-08-06,125.46,GBP
IGWD.L,2026-08-06,13514,GBp
INXG.L,2026-08-06,10.796,GBP
ISPE.L,2026-08-06,7.637,GBP
IUAG.L,2026-08-06,92.44,USD
IWDG.L,2026-08-06,1266,GBp
JFM0003373,2026-08-06,194.94,USD
KNSL,2026-08-06,376.37,USD
LU0164881194,2026-08-06,298.31,USD
LU0196696453,2026-08-06,20.54,USD
MU0129U00005,2026-08-06,315.74,USD
QNTG.L,2026-08-06,21.54,GBP
QQQ,2026-08-06,714.65,USD
SGLN.L,2026-08-06,6127,GBp
0639.HK,2026-08-07,2.435,HKD
0P00000YAN,2026-08-07,196.64,USD
BCHS.L,2026-08-07,12870,GBp
CNX1.L,2026-08-07,126500,GBp
DPYG.L,2026-08-07,5.437,GBP
EWQX.L,2026-08-07,610.95,GBp
FLOS.L,2026-08-07,476.75,GBp
GB00B1FXTF86,2026-08-07,7.40,GBP
GHYS.L,2026-08-07,88.9,GBP
GRAB,2026-08-07,3.66,USD
IDTG.L,2026-08-07,2.8165,GBP
IE0008368742,2026-08-07,198.09,USD
IE00B0M63516,2026-08-07,28.63,USD
IGLS.L,2026-08-07,125.49,GBP
IGWD.L,2026-08-07,13597,GBp
INXG.L,2026-08-07,10.788,GBP
ISPE.L,2026-08-07,7.68,GBP
IUAG.L,2026-08-07,92.77,USD
IWDG.L,2026-08-07,1272.5,GBp
JFM0003373,2026-08-07,196.64,USD
KNSL,2026-08-07,373.76,USD
LU0164881194,2026-08-07,298.61,USD
LU0196696453,2026-08-07,20.05,USD
MU0129U00005,2026-08-07,313.27,USD
QNTG.L,2026-08-07,21.81,GBP
QQQ,2026-08-07,723.03,USD
SGLN.L,2026-08-07,6255,GBp
0639.HK,2026-08-10,2.615,HKD
BCHS.L,2026-08-10,12562,GBp
CNX1.L,2026-08-10,125890,GBp
DPYG.L,2026-08-10,5.366,GBP
EWQX.L,2026-08-10,611.4,GBp
FLOS.L,2026-08-10,476.85,GBp
GB00B1FXTF86,2026-08-10,7.39,GBP
GHYS.L,2026-08-10,88.49,GBP
GRAB,2026-08-10,3.67,USD
IDTG.L,2026-08-10,2.802,GBP
IE0008368742,2026-08-10,200.51,USD
IE00B0M63516,2026-08-10,28.49,USD
IGLS.L,2026-08-10,125.31,GBP
IGWD.L,2026-08-10,13604,GBp
INXG.L,2026-08-10,10.796,GBP
ISPE.L,2026-08-10,7.684,GBP
IUAG.L,2026-08-10,92.56,USD
IWDG.L,2026-08-10,1273,GBp
KNSL,2026-08-10,368.6,USD
LU0164881194,2026-08-10,298.58,USD
LU0196696453,2026-08-10,20.02,USD
MU0129U00005,2026-08-10,314.71,USD
QNTG.L,2026-08-10,22.145,GBP
QQQ,2026-08-10,720.87,USD
SGLN.L,2026-08-10,6239,GBp
0639.HK,2026-08-11,2.76,HKD
0P00000YAN,2026-08-11,199.62,USD
BCHS.L,2026-08-11,12736,GBp
CNX1.L,2026-08-11,125740,GBp
DPYG.L,2026-08-11,5.3645,GBP
EWQX.L,2026-08-11,613.8,GBp
FLOS.L,2026-08-11,476.875,GBp
GB00B1FXTF86,2026-08-11,7.34,GBP
GHYS.L,2026-08-11,88.34,GBP
GRAB,2026-08-11,3.74,USD
IDTG.L,2026-08-11,2.803,GBP
IE0008368742,2026-08-11,199.17,USD
IE00B0M63516,2026-08-11,27.67,USD
IGLS.L,2026-08-11,125.43,GBP
IGWD.L,2026-08-11,13588,GBp
INXG.L,2026-08-11,10.82,GBP
ISPE.L,2026-08-11,7.695,GBP
IUAG.L,2026-08-11,92.31,USD
IWDG.L,2026-08-11,1272.5,GBp
JFM0003373,2026-08-11,199.62,USD
KNSL,2026-08-11,374.6,USD
LU0164881194,2026-08-11,297.18,USD
LU0196696453,2026-08-11,19.60,USD
MU0129U00005,2026-08-11,314.50,USD
QNTG.L,2026-08-11,22,GBP
QQQ,2026-08-11,718.45,USD
SGLN.L,2026-08-11,6286,GBp
0639.HK,2026-08-12,2.71,HKD
0P00000YAN,2026-08-12,199.03,USD
BCHS.L,2026-08-12,12894,GBp
CNX1.L,2026-08-12,126440,GBp
DPYG.L,2026-08-12,5.379,GBP
EWQX.L,2026-08-12,616.8,GBp
FLOS.L,2026-08-12,476.875,GBp
GB00B1FXTF86,2026-08-12,7.33,GBP
GHYS.L,2026-08-12,88.8,GBP
GRAB,2026-08-12,3.61,USD
IDTG.L,2026-08-12,2.805,GBP
IE0008368742,2026-08-12,198.12,USD
IE00B0M63516,2026-08-12,27.42,USD
IGLS.L,2026-08-12,125.43,GBP
IGWD.L,2026-08-12,13594,GBp
INXG.L,2026-08-12,10.87,GBP
ISPE.L,2026-08-12,7.699,GBP
IUAG.L,2026-08-12,92.45,USD
IWDG.L,2026-08-12,1274,GBp
JFM0003373,2026-08-12,199.03,USD
KNSL,2026-08-12,373.52,USD
LU0164881194,2026-08-12,296.78,USD
LU0196696453,2026-08-12,19.22,USD
MU0129U00005,2026-08-12,313.53,USD
QNTG.L,2026-08-12,22.205,GBP
QQQ,2026-08-12,723.7,USD
SGLN.L,2026-08-12,6345,GBp
0639.HK,2026-08-13,2.675,HKD
0P00000YAN,2026-08-13,198.26,USD
BCHS.L,2026-08-13,13028,GBp
CNX1.L,2026-08-13,127920,GBp
DPYG.L,2026-08-13,5.416,GBP
EWQX.L,2026-08-13,623.25,GBp
FLOS.L,2026-08-13,477.15,GBp
GB00B1FXTF86,2026-08-13,7.36,GBP
GHYS.L,2026-08-13,88.95,GBP
GRAB,2026-08-13,3.7,USD
IDTG.L,2026-08-13,2.8145,GBP
IE0008368742,2026-08-13,196.56,USD
IE00B0M63516,2026-08-13,27.32,USD
IGLS.L,2026-08-13,125.5,GBP
IGWD.L,2026-08-13,13669,GBp
INXG.L,2026-08-13,10.868,GBP
ISPE.L,2026-08-13,7.745,GBP
IUAG.L,2026-08-13,92.74,USD
IWDG.L,2026-08-13,1279.5,GBp
JFM0003373,2026-08-13,198.26,USD
KNSL,2026-08-13,376.97,USD
LU0164881194,2026-08-13,296.04,USD
LU0196696453,2026-08-13,19.11,USD
MU0129U00005,2026-08-13,313.64,USD
QNTG.L,2026-08-13,22.605,GBP
QQQ,2026-08-13,732.07,USD
SGLN.L,2026-08-13,6267,GBp
0639.HK,2026-08-14,2.765,HKD
0P00000YAN,2026-08-14,199.23,USD
BCHS.L,2026-08-14,12944,GBp
CNX1.L,2026-08-14,126980,GBp
DPYG.L,2026-08-14,5.438,GBP
EWQX.L,2026-08-14,621.3,GBp
FLOS.L,2026-08-14,476.8,GBp
GB00B1FXTF86,2026-08-14,7.34,GBP
GHYS.L,2026-08-14,88.535,GBP
GRAB,2026-08-14,3.62,USD
IDTG.L,2026-08-14,2.7925,GBP
IE0008368742,2026-08-14,195.89,USD
IE00B0M63516,2026-08-14,27.24,USD
IGLS.L,2026-08-14,125.34,GBP
IGWD.L,2026-08-14,13657,GBp
INXG.L,2026-08-14,10.792,GBP
ISPE.L,2026-08-14,7.775,GBP
IUAG.L,2026-08-14,92.68,USD
IWDG.L,2026-08-14,1278.5,GBp
JFM0003373,2026-08-14,199.23,USD
KNSL,2026-08-14,379.19,USD
LU0164881194,2026-08-14,295.78,USD
LU0196696453,2026-08-14,19.03,USD
MU0129U00005,2026-08-14,313.19,USD
QNTG.L,2026-08-14,22.335,GBP
QQQ,2026-08-14,731.07,USD
SGLN.L,2026-08-14,6283,GBp
0639.HK,2026-08-17,2.72,HKD
0P00000YAN,2026-08-17,200.37,USD
BCHS.L,2026-08-17,13034,GBp
CNX1.L,2026-08-17,127720,GBp
DPYG.L,2026-08-17,5.375,GBP
EWQX.L,2026-08-17,622.95,GBp
FLOS.L,2026-08-17,476.8,GBp
GB00B1FXTF86,2026-08-17,7.33,GBP
GHYS.L,2026-08-17,88.695,GBP
GRAB,2026-08-17,3.58,USD
IDTG.L,2026-08-17,2.78375,GBP
IE0008368742,2026-08-17,197.75,USD
IE00B0M63516,2026-08-17,27.43,USD
IGLS.L,2026-08-17,125.29,GBP
IGWD.L,2026-08-17,13644,GBp
INXG.L,2026-08-17,10.738,GBP
ISPE.L,2026-08-17,7.728,GBP
IUAG.L,2026-08-17,92.44,USD
IWDG.L,2026-08-17,1277,GBp
JFM0003373,2026-08-17,200.37,USD
KNSL,2026-08-17,367.16,USD
LU0164881194,2026-08-17,295.23,USD
LU0196696453,2026-08-17,19.31,USD
MU0129U00005,2026-08-17,311.50,USD
QNTG.L,2026-08-17,22.235,GBP
QQQ,2026-08-17,729.87,USD
SGLN.L,2026-08-17,6328,GBp
0639.HK,2026-08-18,2.8,HKD
0P00000YAN,2026-08-18,198.41,USD
BCHS.L,2026-08-18,12758,GBp
CNX1.L,2026-08-18,125100,GBp
DPYG.L,2026-08-18,5.387,GBP
EWQX.L,2026-08-18,615.5,GBp
FLOS.L,2026-08-18,477.275,GBp
GB00B1FXTF86,2026-08-18,7.31,GBP
GHYS.L,2026-08-18,88.44,GBP
GRAB,2026-08-18,3.45,USD
IDTG.L,2026-08-18,2.7775,GBP
IE0008368742,2026-08-18,197.48,USD
IE00B0M63516,2026-08-18,27.28,USD
IGLS.L,2026-08-18,125.24,GBP
IGWD.L,2026-08-18,13510,GBp
INXG.L,2026-08-18,10.724,GBP
ISPE.L,2026-08-18,7.705,GBP
IUAG.L,2026-08-18,92.53,USD
IWDG.L,2026-08-18,1263.5,GBp
JFM0003373,2026-08-18,198.41,USD
KNSL,2026-08-18,372.71,USD
LU0164881194,2026-08-18,293.64,USD
LU0196696453,2026-08-18,19.26,USD
MU0129U00005,2026-08-18,311.30,USD
QNTG.L,2026-08-18,21.74,GBP
QQQ,2026-08-18,717.51,USD
SGLN.L,2026-08-18,6244,GBp
0639.HK,2026-08-19,2.765,HKD
0P00000YAN,2026-08-19,198.5,USD
BCHS.L,2026-08-19,12966,GBp
CNX1.L,2026-08-19,124500,GBp
DPYG.L,2026-08-19,5.368,GBP
EWQX.L,2026-08-19,614.2,GBp
FLOS.L,2026-08-19,477.6,GBp
GB00B1FXTF86,2026-08-19,7.28,GBP
GHYS.L,2026-08-19,88.625,GBP
GRAB,2026-08-19,3.54,USD
IDTG.L,2026-08-19,2.821,GBP
IE0008368742,2026-08-19,195.34,USD
IE00B0M63516,2026-08-19,27.75,USD
IGLS.L,2026-08-19,125.38,GBP
IGWD.L,2026-08-19,13534,GBp
INXG.L,2026-08-19,10.808,GBP
ISPE.L,2026-08-19,7.773,GBP
IUAG.L,2026-08-19,92.68,USD
IWDG.L,2026-08-19,1267,GBp
JFM0003373,2026-08-19,198.5,USD
KNSL,2026-08-19,379.42,USD
LU0164881194,2026-08-19,293.41,USD
LU0196696453,2026-08-19,19.68,USD
MU0129U00005,2026-08-19,310.95,USD
QNTG.L,2026-08-19,21.585,GBP
QQQ,2026-08-19,716.08,USD
SGLN.L,2026-08-19,6391,GBp
0639.HK,2026-08-20,2.835,HKD
0P00000YAN,2026-08-20,198.5,USD
BCHS.L,2026-08-20,13402,GBp
CNX1.L,2026-08-20,123210,GBp
DPYG.L,2026-08-20,5.37,GBP
EWQX.L,2026-08-20,609.8,GBp
FLOS.L,2026-08-20,477.725,GBp
GB00B1FXTF86,2026-08-20,7.28,GBP
GHYS.L,2026-08-20,88.45,GBP
GRAB,2026-08-20,3.51,USD
IDTG.L,2026-08-20,2.7995,GBP
IE0008368742,2026-08-20,196.96,USD
IE00B0M63516,2026-08-20,27.68,USD
IGLS.L,2026-08-20,125.32,GBP
IGWD.L,2026-08-20,13461,GBp
INXG.L,2026-08-20,10.73,GBP
ISPE.L,2026-08-20,7.743,GBP
IUAG.L,2026-08-20,92.625,USD
IWDG.L,2026-08-20,1260,GBp
JFM0003373,2026-08-20,198.5,USD
KNSL,2026-08-20,381.15,USD
LU0164881194,2026-08-20,295.54,USD
LU0196696453,2026-08-20,19.49,USD
MU0129U00005,2026-08-20,313.70,USD
QNTG.L,2026-08-20,21.12,GBP
QQQ,2026-08-20,710.93,USD
SGLN.L,2026-08-20,6432,GBp
0639.HK,2026-08-21,2.92,HKD
0P00000YAN,2026-08-21,199.24,USD
BCHS.L,2026-08-21,13722,GBp
CNX1.L,2026-08-21,123550,GBp
DPYG.L,2026-08-21,5.352,GBP
EWQX.L,2026-08-21,610.65,GBp
FLOS.L,2026-08-21,477.725,GBp
GB00B1FXTF86,2026-08-21,7.26,GBP
GHYS.L,2026-08-21,88.585,GBP
GRAB,2026-08-21,3.48,USD
IDTG.L,2026-08-21,2.7965,GBP
IE0008368742,2026-08-21,198.24,USD
IE00B0M63516,2026-08-21,28.26,USD
IGLS.L,2026-08-21,125.43,GBP
IGWD.L,2026-08-21,13493,GBp
INXG.L,2026-08-21,10.76,GBP
ISPE.L,2026-08-21,7.747,GBP
IUAG.L,2026-08-21,92.42,USD
IWDG.L,2026-08-21,1263,GBp
JFM0003373,2026-08-21,199.24,USD
KNSL,2026-08-21,383.55,USD
LU0164881194,2026-08-21,296.40,USD
LU0196696453,2026-08-21,19.86,USD
MU0129U00005,2026-08-21,314.29,USD
QNTG.L,2026-08-21,21.595,GBP
QQQ,2026-08-21,713.44,USD
SGLN.L,2026-08-21,6552,GBp
0639.HK,2026-08-24,2.84,HKD
0P00000YAN,2026-08-24,198.58,USD
BCHS.L,2026-08-24,13842,GBp
CNX1.L,2026-08-24,122350,GBp
DPYG.L,2026-08-24,5.355,GBP
EWQX.L,2026-08-24,606.15,GBp
FLOS.L,2026-08-24,477.6,GBp
GB00B1FXTF86,2026-08-24,7.24,GBP
GHYS.L,2026-08-24,88.37,GBP
GRAB,2026-08-24,3.52,USD
IDTG.L,2026-08-24,2.817,GBP
IE0008368742,2026-08-24,195.79,USD
IE00B0M63516,2026-08-24,28.55,USD
IGLS.L,2026-08-24,125.36,GBP
IGWD.L,2026-08-24,13456,GBp
INXG.L,2026-08-24,10.778,GBP
ISPE.L,2026-08-24,7.736,GBP
IUAG.L,2026-08-24,92.51,USD
IWDG.L,2026-08-24,1260,GBp
JFM0003373,2026-08-24,198.58,USD
KNSL,2026-08-24,395.51,USD
LU0164881194,2026-08-24,295.47,USD
LU0196696453,2026-08-24,20.03,USD
MU0129U00005,2026-08-24,312.76,USD
QNTG.L,2026-08-24,21.335,GBP
QQQ,2026-08-24,706.32,USD
SGLN.L,2026-08-24,6643,GBp
0639.HK,2026-08-25,2.775,HKD
0P00000YAN,2026-08-25,200.42,USD
BCHS.L,2026-08-25,14002,GBp
CNX1.L,2026-08-25,123000,GBp
DPYG.L,2026-08-25,5.3915,GBP
EWQX.L,2026-08-25,609.55,GBp
FLOS.L,2026-08-25,477.675,GBp
GB00B1FXTF86,2026-08-25,7.28,GBP
GHYS.L,2026-08-25,88.6,GBP
GRAB,2026-08-25,3.58,USD
IDTG.L,2026-08-25,2.8415,GBP
IE0008368742,2026-08-25,196.76,USD
IE00B0M63516,2026-08-25,28.37,USD
IGLS.L,2026-08-25,125.6,GBP
IGWD.L,2026-08-25,13476,GBp
INXG.L,2026-08-25,10.838,GBP
ISPE.L,2026-08-25,7.743,GBP
IUAG.L,2026-08-25,92.87,USD
IWDG.L,2026-08-25,1263.5,GBp
JFM0003373,2026-08-25,200.42,USD
KNSL,2026-08-25,387.95,USD
LU0164881194,2026-08-25,297.66,USD
LU0196696453,2026-08-25,19.96,USD
MU0129U00005,2026-08-25,315.54,USD
QNTG.L,2026-08-25,21.36,GBP
QQQ,2026-08-25,710.72,USD
SGLN.L,2026-08-25,6614,GBp
0639.HK,2026-08-26,2.76,HKD
0P00000YAN,2026-08-26,199.28,USD
BCHS.L,2026-08-26,13916,GBp
CNX1.L,2026-08-26,123280,GBp
DPYG.L,2026-08-26,5.378,GBP
EWQX.L,2026-08-26,609.6,GBp
FLOS.L,2026-08-26,477.85,GBp
GB00B1FXTF86,2026-08-26,7.31,GBP
GHYS.L,2026-08-26,88.905,GBP
GRAB,2026-08-26,3.64,USD
IDTG.L,2026-08-26,2.836,GBP
IE0008368742,2026-08-26,199.42,USD
IE00B0M63516,2026-08-26,28.82,USD
IGLS.L,2026-08-26,125.53,GBP
IGWD.L,2026-08-26,13488,GBp
INXG.L,2026-08-26,10.808,GBP
ISPE.L,2026-08-26,7.754,GBP
IUAG.L,2026-08-26,92.81,USD
IWDG.L,2026-08-26,1263,GBp
JFM0003373,2026-08-26,199.28,USD
KNSL,2026-08-26,387.13,USD
LU0164881194,2026-08-26,296.40,USD
LU0196696453,2026-08-26,20.26,USD
MU0129U00005,2026-08-26,314.34,USD
QNTG.L,2026-08-26,21.2,GBP
QQQ,2026-08-26,711.37,USD
SGLN.L,2026-08-26,6560,GBp
0639.HK,2026-08-27,2.815,HKD
0P00000YAN,2026-08-27,198.05,USD
BCHS.L,2026-08-27,14404,GBp
CNX1.L,2026-08-27,124830,GBp
DPYG.L,2026-08-27,5.34,GBP
EWQX.L,2026-08-27,615.05,GBp
FLOS.L,2026-08-27,477.925,GBp
GB00B1FXTF86,2026-08-27,7.32,GBP
GHYS.L,2026-08-27,88.86,GBP
GRAB,2026-08-27,3.59,USD
IDTG.L,2026-08-27,2.838,GBP
IE0008368742,2026-08-27,198.90,USD
IE00B0M63516,2026-08-27,28.54,USD
IGLS.L,2026-08-27,125.57,GBP
IGWD.L,2026-08-27,13526,GBp
INXG.L,2026-08-27,10.818,GBP
ISPE.L,2026-08-27,7.75,GBP
IUAG.L,2026-08-27,92.98,USD
IWDG.L,2026-08-27,1268,GBp
JFM0003373,2026-08-27,198.05,USD
KNSL,2026-08-27,381.8,USD
LU0164881194,2026-08-27,294.72,USD
LU0196696453,2026-08-27,20.10,USD
MU0129U00005,2026-08-27,312.81,USD
QNTG.L,2026-08-27,21.85,GBP
QQQ,2026-08-27,721.11,USD
SGLN.L,2026-08-27,6561,GBp
0639.HK,2026-08-28,2.935,HKD
0P00000YAN,2026-08-28,197.66,USD
BCHS.L,2026-08-28,14110,GBp
CNX1.L,2026-08-28,125880,GBp
DPYG.L,2026-08-28,5.308,GBP
EWQX.L,2026-08-28,615.3,GBp
FLOS.L,2026-08-28,478.025,GBp
GB00B1FXTF86,2026-08-28,7.33,GBP
GHYS.L,2026-08-28,88.77,GBP
GRAB,2026-08-28,3.61,USD
IDTG.L,2026-08-28,2.8375,GBP
IE0008368742,2026-08-28,198.95,USD
IE00B0M63516,2026-08-28,28.37,USD
IGLS.L,2026-08-28,125.4,GBP
IGWD.L,2026-08-28,13609,GBp
INXG.L,2026-08-28,10.806,GBP
ISPE.L,2026-08-28,7.724,GBP
IUAG.L,2026-08-28,92.71,USD
IWDG.L,2026-08-28,1274.5,GBp
JFM0003373,2026-08-28,197.66,USD
KNSL,2026-08-28,380.61,USD
LU0164881194,2026-08-28,296.59,USD
LU0196696453,2026-08-28,19.91,USD
MU0129U00005,2026-08-28,314.08,USD
QNTG.L,2026-08-28,21.49,GBP
QQQ,2026-08-28,716.43,USD
SGLN.L,2026-08-28,6519,GBp
0639.HK,2026-08-31,3.05,HKD
0P00000YAN,2026-08-31,198.01,USD
GRAB,2026-08-31,3.54,USD
IE0008368742,2026-08-31,198.64,USD
JFM0003373,2026-08-31,198.01,USD
KNSL,2026-08-31,373.9,USD
LU0164881194,2026-08-31,296.84,USD
MU0129U00005,2026-08-31,313.03,USD
QQQ,2026-08-31,716.76,USD
0639.HK,2026-09-01,3.015,HKD
0P00000YAN,2026-09-01,196.95,USD
BCHS.L,2026-09-01,13708,GBp
CNX1.L,2026-09-01,123940,GBp
DPYG.L,2026-09-01,5.247,GBP
EWQX.L,2026-09-01,602.75,GBp
FLOS.L,2026-09-01,478.3,GBp
GB00B1FXTF86,2026-09-01,7.36,GBP
GHYS.L,2026-09-01,88.57,GBP
GRAB,2026-09-01,3.46,USD
IDTG.L,2026-09-01,2.81,GBP
IE0008368742,2026-09-01,197.71,USD
IE00B0M63516,2026-09-01,29.54,USD
IGLS.L,2026-09-01,125.22,GBP
IGWD.L,2026-09-01,13415,GBp
INXG.L,2026-09-01,10.764,GBP
ISPE.L,2026-09-01,7.618,GBP
IUAG.L,2026-09-01,92.46,USD
IWDG.L,2026-09-01,1256.5,GBp
JFM0003373,2026-09-01,196.95,USD
KNSL,2026-09-01,372.51,USD
LU0164881194,2026-09-01,295.67,USD
LU0196696453,2026-09-01,20.76,USD
MU0129U00005,2026-09-01,313.26,USD
QNTG.L,2026-09-01,21.13,GBP
QQQ,2026-09-01,707.64,USD
SGLN.L,2026-09-01,6255,GBp
0639.HK,2026-09-02,2.965,HKD
0P00000YAN,2026-09-02,197.24,USD
BCHS.L,2026-09-02,13562,GBp
CNX1.L,2026-09-02,124010,GBp
DPYG.L,2026-09-02,5.219,GBP
EWQX.L,2026-09-02,601.6,GBp
FLOS.L,2026-09-02,478.1,GBp
GB00B1FXTF86,2026-09-02,7.30,GBP
GHYS.L,2026-09-02,88.5,GBP
GRAB,2026-09-02,3.53,USD
